d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d15
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d19,d19,d19,d19,d19,d19,d19,d18,d18,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d14,d14,d14,d13,d13,d13,d13,d13,d13,d13,d13,d14,d14,d14,d14,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d16,d16,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d17,d17,d18,d18,d18,d18,d20,d20,d20,d19,d18,d18,d18,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d18,d18,d18,d18,d17,d17,d17,d16,d17,d17,d17,d16,d16,d16,d17,d17,d17,d17,d18,d18
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d15,d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20,d19,d19,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20,d20,d20,d19,d18,d18,d19,d19,d19,d19,d19,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
d4,d4,d4,d4,d4,d4,d4,d4,d4,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d3,d1,d3,d2,d1,d1,d1,d1,d1,d1,d2,d2,d2,d2,d2,d2,d1,d1,d1,d1,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d3,d3,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2,d2
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
